nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
PACITAN,284.0247602772242,284.4003634834741,287.6435447776378,292.9733409285109,295.97198193432894,290.78672200295694,281.76553145895224,296.19708941964757,298.1547761457193,297.0618030407838,291.5260392507903,275.7657077755627,275.9560266373712,277.91446203089623,281.769849859625,287.5036795920307,290.7373723399929,295.853706039522,287.07904951784224,296.59399709755763,296.9188618084662,298.43248565732216,288.3331217534011,279.6593291831115,278.4928456144633,277.97147739756684,281.26628148268725,283.96301691283213,294.86311320882675,290.7093895376437,286.436405311199,296.71643677693237,298.4624649062135,294.54457419538596,285.4488641141451,274.5771656426743
PONOROGO,289.86108480296105,286.31330557369927,290.06534672327444,295.3933512954498,298.99438819943384,293.76204278249526,287.83048388852615,304.31253537992586,308.44989113868934,304.7463585891574,297.99337851077735,280.8633273459614,278.1652759634227,277.36609242325306,283.29466851730905,289.3754735467015,295.3981112562598,300.2801436969303,292.1116862617025,302.8348873285434,305.30014968430237,307.08166231221423,293.47903331156124,285.8342913128676,280.9616563248423,277.49778195079483,282.90518996298715,284.9311343348576,295.5375680383192,291.2760477901156,291.32779773568467,300.8820732636622,304.99311996516445,297.7818446549097,289.67642608317,280.91187676899636
TRENGGALEK,290.9540422572818,288.4212596469666,290.78747803627226,297.13217662873103,298.0310006767628,291.19078175349756,283.3547351624543,296.533915721373,301.5402518300525,300.1012783976262,295.4572242814839,279.6379756738134,280.42855501952704,280.142886856533,284.7350320685957,290.64039090779295,293.9237369692234,298.49316408069046,288.2119383339234,296.34592173151816,298.7375249129217,302.2162876177354,292.4782722074249,284.4772073934727,283.3507987656852,280.4246093095164,284.36832939072826,287.32614661525804,297.0888265936513,291.80873085352806,286.88334233613386,295.19377751286805,299.5866379818833,295.8601275293215,288.3676805682325,279.23354505435873
TULUNGAGUNG,306.904698094498,302.93648661324477,303.93100594966904,310.5921696191674,312.8681860209581,304.77724586605206,298.1408188834991,312.8588226623429,315.9614042022888,312.9790455069282,308.1826340685552,293.5299962479567,294.35274569185015,293.4437528475332,297.08811272210744,303.9207347305228,309.7174376222764,313.61202529949355,301.36359311768047,311.6436128159086,312.25030150349744,314.93167930748007,304.53031450164826,298.96057004261263,296.8774622785625,292.89278535631036,297.6511504033448,299.92939458097743,310.6802119904593,304.6594551496797,299.9679669284166,310.08053158416664,312.2421944094552,305.89427277356435,300.09519805429767,293.38081901750087
BLITAR,301.8392437224345,299.73292931070523,299.8561026848077,305.2301697115016,309.3965023812408,300.0733356064192,295.34112121778753,308.5489435651519,312.30481857477577,310.3445462444595,304.3707761853962,288.86048680693835,289.71689085889665,290.35545485542104,293.0372221427865,298.40911580637726,304.5851362201523,307.5012593627299,295.90332273782184,307.0825218051236,308.4710126596204,310.7425026672096,300.7138683883462,294.32294899855935,292.0058535619621,289.6790879794106,293.97743705936085,295.49560377918823,307.04803396429827,300.80864505768903,296.5780529922238,306.0247956972692,308.3725667902203,303.0646707508884,296.8707266907908,288.6843520056315
KEDIRI,304.2118003524387,300.43270071882284,302.1011980375006,307.786987664651,311.21675477630293,302.6110878687612,299.451237972084,314.1219259879056,318.3398090746588,315.6924200357512,308.9723069511531,292.1472787433917,290.9342207685188,290.9482219602175,295.33359956388904,301.1764880386417,307.79851164441754,309.4898921132368,301.74480913804706,312.9617540790324,315.032158115595,318.5091595988795,304.1072655586407,297.9834708857873,293.6234612507766,290.01221364368195,295.8521431559732,297.8242371226818,306.7335919573019,301.49000367651735,301.2150407586305,311.71015352628723,315.340683832199,306.80072769685233,299.659356736267,293.13884050254177
MALANG,280.8568965998472,279.8306242638399,279.2085397372991,282.897752024964,286.06432770083586,278.04385756312155,273.56746325479105,287.06732872238865,290.72156816773565,289.6545274898264,284.41753275389516,269.179961929005,268.41852751215544,271.8285219857207,272.79972646938984,275.9218137870595,281.4223681052146,284.34963129190186,276.09636650868896,285.8646358414417,287.7577646408658,291.37380246624133,279.3489111807034,274.0298896387723,271.2542338630897,270.3905023473394,273.50678300091,273.70214972730673,284.222058848157,278.0075706574225,274.98818459408636,283.66272894233,288.6160601544053,283.09984760437465,276.21775157838357,268.91458141443235
LUMAJANG,295.1211145876076,291.66450810422657,292.9253308370946,295.93519610860324,298.2153881992886,289.6058037546161,284.94791880385714,296.5756907399808,301.94732680207915,302.6772030160034,296.3798706572289,281.7369887840239,280.8562824852961,282.9254868520037,285.44809405348093,287.9470831623579,293.491972712351,298.00449237450385,289.2852978388727,296.6174001504581,300.51432345096407,303.81777886062116,292.51025851456654,286.7628060456845,284.3391721378744,281.6646299240869,286.93822237040064,287.4357154459032,297.34819963069316,291.21381950143626,287.8583128163041,294.0320877786897,301.54212829982214,297.7790764772258,289.49842916495675,281.4708017029132
JEMBER,306.969042323009,304.26426000018654,306.1811260177386,308.88291691148333,310.6805419546182,303.0732247279034,299.26992343060715,308.49682204377774,316.69237826772235,320.05077152290085,312.4367323242216,296.47468010594747,294.02791378715347,295.9745751844286,298.8833599134515,302.9578122231237,306.3914738442313,308.9213391716331,302.4088663346485,309.92893665538173,315.9059553454014,319.96683897111586,308.6200803465674,301.1549142907771,297.71387901849425,295.64309080141373,301.3208010408212,301.93713219178744,310.25478675284234,304.4269011779191,301.2173204443073,307.18448234054256,316.2459080607704,314.4831274539976,306.46548898090884,295.48976315715845
BANYUWANGI,310.0002429262448,305.83690552630446,307.23431145926975,310.1093564059758,307.5514083301229,299.48610290655347,293.3420797482985,297.35191237532615,309.0508454261372,317.90552523436486,315.64956551517474,301.7980480287657,298.59765742048694,298.2495986901246,300.9971779889559,305.9793887247982,304.0532939514575,303.6264136809212,297.7670123282392,299.72949895124367,308.2901267069047,318.93672038868226,311.28287637515535,306.1441804717265,302.33103463036645,298.704172552545,303.3571636488162,305.45118145627345,307.79319806515156,300.93900303925324,294.70719682376574,297.3310795770728,309.04817109712764,314.2073284534047,309.25810003852587,300.64902080390397
