nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
PACITAN,210.8241309625532,210.41600954822272,212.03905277291796,210.88531553891852,209.41559452604778,195.45873784432604,184.73567698796984,192.7032048934641,197.8921593359647,200.21071191222148,206.49027139195192,201.11227027980087,202.75539732270016,203.93010809564544,206.1933352321276,205.45780201000952,204.17729313314635,200.49663235274204,190.04919504685964,193.1086408701903,196.6715302925501,201.58980347479377,203.30793831631215,204.99332980700132,206.6598391450003,206.29819750172962,208.11086245948135,204.18793180616026,210.54282187953518,197.83469097123339,191.39702160556632,195.96562639866568,201.52005533629026,201.0493957765393,202.32795432043523,202.51312202465738
PONOROGO,214.93248421511,211.29936588286532,213.2794878075332,211.9152487480948,210.23012736773342,196.35431635096896,186.54264097539732,196.06686533855864,201.1102057478773,201.3270792510342,207.51071195297197,203.28533093838436,203.23667537557142,202.35215273241894,206.50880960156775,205.8973709993469,206.63408719790968,202.87152460265614,190.82384334857386,194.59065697800997,197.90814282603964,203.69863106901815,202.97187568038322,208.23762791204,207.13127857609396,204.82190017417813,208.4441078815588,203.5391438057915,208.7181662312214,196.10931036359688,192.3309655998257,195.3002639886783,200.5326420640105,197.54403167864143,201.11200468103632,205.6613379055084
TRENGGALEK,214.83485449612292,212.19232154276966,212.73244609185377,213.16461464910853,207.84352512402162,192.21140127032635,180.81717796362898,188.09197757371462,194.46359143430152,197.0965690018071,205.29481066179932,201.3620802056367,204.30936725836827,203.91394875233638,206.67637416879342,206.67282892817033,203.73626141648225,199.50329999192888,185.6743811350982,187.9392745605705,191.66086451717064,199.20601821670084,202.31585858774048,206.19928474304805,208.272583058593,206.43270872526583,208.69924749008172,205.279571094182,209.0995492391085,195.04411061647497,186.4683908581224,189.39277975425492,195.4278689440651,195.9443006066028,200.11304102172494,203.40541161423334
TULUNGAGUNG,228.1701819741112,224.66036636024987,223.7746897864017,224.58387827298813,219.8536368021871,202.67819861710402,191.40660761664847,200.53357073942058,204.47474405703113,205.83644775279393,214.09756318173294,212.14553908825349,215.61822957146316,215.14948543403105,216.9317965588403,217.9200647227509,216.70288840350565,211.5129780505455,194.65073834856474,199.3300994291535,200.76390601130979,207.78254562752937,210.445243614826,217.59788478546372,219.25383914453417,216.71568220191364,219.78659247447266,215.71241591402475,219.68742127408683,204.7453534961006,195.47212097660335,200.3376102162786,203.55580829737636,201.68821858333567,207.647663012891,214.2849945059363
BLITAR,219.13376521959128,217.8636456626229,216.4423123879498,217.0626073757963,213.70405085845647,195.35694409309406,185.1462774557574,194.07673203620826,198.1463060526403,200.5455889308066,207.73605077046625,203.83644342766672,207.01141235605326,208.48617120733877,209.62343184592908,210.29982071954177,208.89268469736817,202.7848678494045,185.70847897579185,192.5667462246617,194.3059162551285,200.91830310496172,204.07568934986105,209.28768684213446,210.30693474411322,209.87312662919777,212.7669552018829,209.06163948129682,213.34096063529083,198.21048845675838,188.6445429448193,194.05018093027877,196.7059580505726,196.14083524895804,201.74005433407766,205.8495495990938
KEDIRI,224.95795585643842,222.0052510807694,221.53099811103084,221.90638065898423,218.50930412403812,201.35816123429558,193.36049899212716,202.0246352007505,206.04164860102188,207.96725110612465,213.5257115328542,209.75546343133158,211.68037627251886,212.5006909316803,214.76339963741947,215.30622599170883,215.0910609921526,208.22662052003696,195.65407015809035,200.95462924225703,202.7450297290788,210.7359981744192,208.6456724857061,215.59165557372702,215.47577175167027,213.62249267865968,217.44577897792828,213.72582056060557,215.88585555090714,202.38970575184794,197.44093611734436,202.15462163566988,205.84967355062832,201.95190608400202,205.85869749870054,213.18896791287932
MALANG,194.90591775102018,194.5448272012235,193.15077230530505,193.24009735456815,189.10267892530376,173.08629053416624,162.4241979691749,172.8506868967674,176.1826816047875,178.94923495162973,187.14992603509,181.67903583251004,182.47683865601587,186.53009674052015,186.74195903739565,186.26098281222954,184.46265525653294,179.3920642629466,164.98093994049324,171.63874644828886,173.21887807791737,180.66850992804456,182.0841514131484,186.5294335683465,186.27713786500993,187.03678930886073,189.5362439223174,185.43517603648544,189.14594588559714,175.06966657176827,166.0563126957279,171.9116429141617,176.38014167769174,175.23406405082076,180.36993507834688,183.554897593489
LUMAJANG,200.68560858637662,198.31971942962642,198.50677061961437,198.505774688825,193.48440919504856,176.11044145807668,163.0420577725345,172.87685935576522,176.03879000820658,180.62810320065645,188.85051848242352,185.25811918684164,186.42421308644506,189.57429729175198,191.02953383600047,190.53874726439602,188.76817894268896,184.50913007796456,167.37943680755,172.91856876624252,174.592283887293,181.79100841198186,184.99946142798504,190.2717459136915,190.83704563329218,190.08760985159338,194.49074810217482,191.2134412187115,194.37313209547256,179.43371076118174,168.06043974832426,172.57819766447807,177.7099811072355,178.4509771235125,183.224932892217,186.92263370263976
JEMBER,205.1569789131064,203.53358887552133,203.4064741240217,202.5564979062326,199.0647202559152,182.39053188215215,169.36544747861927,178.57865266780445,181.17751904908437,185.71990034787305,192.61451017971893,191.56471559273663,192.23108614756143,195.2536186266006,196.10833496544586,196.65145071486523,194.77565214552826,188.23801912835867,172.50384828814705,179.99180796097838,180.38320602855737,185.6077264206375,188.80448108148443,196.2364709530602,196.80520037678508,196.60281609356224,200.36131240498753,196.58146573030066,200.32528701864345,185.49433190640087,173.237980657135,179.45131291793737,182.62906512595234,182.77810730906617,187.7399053841061,192.4307786109324
BANYUWANGI,205.81597213304212,203.79301292752876,203.1782778990627,202.6350188348104,199.5278755190271,186.8404830700738,174.93801207140118,183.13431573990843,189.0504558880184,190.97381640340723,194.5220003424506,192.5237693163818,194.41338662728455,196.22584221565836,196.91626642695087,198.53298874192026,196.0562026454346,190.97502782415106,179.37599524849122,185.51566178673852,188.28785796840884,192.0039199948629,190.14330401095822,196.86990175934224,198.83888960232858,198.0676918796285,201.02577051496093,198.744819357048,201.3027096442789,189.8178962801248,177.8206840460597,185.10388681991355,190.68794572150185,189.5946652540558,188.9970153246863,192.52952570523527
