nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
PACITAN,369.80318183667697,358.88359034870035,420.9277752912618,165.93640124235404,267.5497307780992,50.528608048175194,25.73221304471661,16.45340223243954,36.00223786467027,207.93427730533986,263.5599218781789,467.00967571306546,456.93900259049826,454.90670952516604,255.18135926543795,234.47223555899174,59.79669609797783,180.26549212678538,34.534111838982284,35.802102236508404,95.43044309720476,200.05108027830917,551.1183030204396,419.8369098479609,238.46492791363224,305.2386892894445,351.2486905100977,268.5779224478172,245.19897736365996,129.9738725909049,46.065212732771855,44.62233795825367,82.72551030095893,419.42088131179594,508.84107363252946,373.04565515183634
PONOROGO,309.8123040496409,378.7512872849988,364.98113433485764,231.65725832789033,213.68491454387103,41.80125462660572,23.566884389288056,22.684958088395383,33.48939146527327,196.46556172436323,264.4692004136731,410.92961571957335,403.96692521227976,410.48059819290216,292.32472240365763,302.43660189418694,70.48603853690399,170.39328870019605,27.368577182669288,33.83291421728719,89.18511321576311,134.02123612018298,424.699706074461,347.51783420422396,233.72855160026128,272.31788863487907,404.3008572828216,363.6646091878949,265.2547463531462,145.6381912693229,40.9124836708034,57.92080339647293,79.5175947093403,324.8128837361203,392.3837524493795,263.73039407794477
TRENGGALEK,323.7808780524155,304.9508105624584,384.65053613227366,199.61875003880544,318.80681853459305,72.69763009046277,38.83158554833271,33.140170494409,49.343006686907486,259.68752522336297,251.54850646649442,423.7305213552637,426.3258579047698,390.56211621683764,239.32979740595243,249.3773694438755,62.78946175672587,188.54461353151942,48.21433183700593,63.76920856073176,103.42529848939232,181.36894406467133,505.9294087333376,349.5802646202375,235.8068340566624,268.0292839359005,400.4463650418172,335.86604764654436,293.40168942202064,165.9629674471165,67.58691737912976,65.84612041400474,101.96807110349512,475.4270586920487,433.48621329806736,304.25414284029074
TULUNGAGUNG,298.2394473775898,292.35898681424743,347.914738160963,199.96151810361008,235.57585492991728,44.48598008736905,27.691649023128683,31.98350440865118,34.278026425106574,234.60442741135796,212.1324002358429,389.7467705625384,389.571640581031,392.99743722027193,238.4030833757673,223.52087409213956,51.53312518425219,156.84546270736746,36.01650564146547,50.42465762602849,99.57351995283149,159.4048186958971,343.46032213973723,293.35504716854706,235.7291761584435,236.46201725940034,365.59221316967313,276.0040334467883,256.9870185994158,139.29816685873567,62.97480770776944,61.979638463806154,78.28253222737389,395.135823975558,344.228331948651,257.3317610484283
BLITAR,316.2228841056325,273.2579570826783,346.30155193083993,235.18778473146432,224.49362399498486,27.056760413114997,16.158730298397494,29.735076276685874,31.757260858566415,250.3001396847744,230.8797963022032,362.05880619012584,416.5038836766798,352.54702097471386,238.07983369812732,149.23163255205196,53.222463951429326,158.88979201267082,25.531338884061654,34.176887119304034,147.99280458430047,191.1335452435685,367.59923448344176,367.56217292315176,228.53073614976006,230.5602547322343,346.4487928815763,251.3984623676021,274.1552832741231,129.72133437455324,47.746792199650265,53.78213134768319,78.72325916475107,383.9405514798889,350.36387333780647,288.1765857521532
KEDIRI,309.6982390750393,363.5336781652913,345.2327919978704,213.42518794609475,163.2707818303985,30.48149444085246,19.897668580991144,23.154553176384084,24.33690082277921,141.22455152829022,197.95209371315556,371.44754877724137,406.2873717973102,392.4202614130502,308.3554456826277,222.48187730574682,56.6313264620495,119.61534502212244,16.67006427566273,26.228481598397554,84.60407713079533,99.20922932592964,256.1110029285362,337.3358105452654,274.9158610022947,288.0451095982454,393.8969155288482,237.10037906160082,216.90736697980446,138.88270388823392,37.241587748323376,45.96702544403454,50.5712394934013,222.33191850809507,250.3830271681945,220.39551211349033
MALANG,312.635350202915,341.663030384227,358.45152870117613,230.82758193358234,236.732554050207,38.01943630365246,38.043307152546355,38.906211377756996,44.10638219483198,249.56399444007192,234.00103048470734,467.08268886172203,435.70240762759664,355.7462506768483,303.8540931902044,180.6528773745527,76.17501493253845,154.03575547479886,39.8148007971464,53.58594610888757,165.68817398779726,163.9238010706771,485.2512908970135,401.17481508772516,286.3109004739335,291.0128358425584,408.90622812452926,280.096923617973,260.8830215642603,159.569989784469,63.70696721540256,68.86438352340922,75.52660559677119,484.30206487699513,439.1187100519713,282.69451096634464
LUMAJANG,255.56012344412503,313.05776612296546,336.67187286280927,204.194170171659,208.45821578785396,49.99824109218984,61.6423454383805,54.60618417453153,47.74962171727534,261.92653407536585,257.5926749931608,474.49259890917784,411.1049018602102,408.36956512447006,331.61504496648854,234.68875666803422,67.76689876555875,163.34563927643276,45.45943612364927,74.76374213513884,149.0751286588701,188.270324681986,452.7976465257828,304.83378000615465,335.95259070236636,305.4912075981402,435.6510844104772,235.083132437423,232.10556438927625,209.66114844070583,78.58976627684314,96.40695099849538,73.98281057652845,455.81430592600196,405.9939410648337,260.23586675899315
JEMBER,239.1130482732247,289.06966089365153,323.24916878841316,228.15017533551557,172.20353259095492,41.47366469880528,34.94086506626378,28.818865821698687,37.59324958264552,203.33029294088027,238.51541180530296,410.50064934762156,442.9584230995217,344.21111725096256,245.278942018037,142.0849211456499,52.800431110862384,146.76685272749305,31.72658384861456,34.353730076569406,84.85677163481722,170.40698590787426,379.70459929306196,299.9593452430915,282.9924794586982,264.2322029788384,359.5921828805381,214.5222363671973,187.4458068697945,146.88915274707853,47.79941570372027,41.32619633847213,71.08673279053934,351.8627603219461,336.8615945272934,298.26775971573267
BANYUWANGI,187.10393604725814,283.6813214331577,272.43813942040146,228.38436924789178,169.506124523779,78.83820148966221,53.08519862163425,32.908631907880675,34.14562839775696,128.8209879714052,143.39613351311993,336.67813449766646,396.84875112366774,340.2773340182358,227.82012970335177,124.92001733658668,43.65133234878636,111.16355357219295,38.57057703009288,57.03353345319118,56.18694191173322,124.11765549419985,288.9036107187193,228.1184281494799,235.79682055562705,225.32268845511732,310.9565675698813,178.1909764136808,164.0574943281537,152.75119750866818,73.13614250246131,44.40468515902569,58.779738667009084,358.0813332049136,260.96232074825576,285.2060453319639
