nmkab,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
PACITAN,170.05498365680663,170.06049016017704,190.5411021144432,188.29873458925024,207.1845763654369,282.32667399058784,322.5344563345136,269.0816074649743,274.6703557526686,234.10220938275617,209.2344332777259,217.28906430131184,194.6555180317642,206.81602039847596,190.7192903934574,214.17175950414355,216.40897315918693,125.34263742523508,282.3050819872242,285.3525111554166,256.0496670328628,237.64883156338587,135.5751040946143,199.59607220843347,228.12450665256173,190.39009371905985,191.3280709606545,165.55619752885502,147.2743079573045,180.47876741126532,294.2281265682008,263.72871655070475,257.4940255794715,202.41938940201555,164.00919558937233,213.3041461529073
PONOROGO,154.60790877422164,134.22030807750932,132.56115284128035,142.2988242978446,169.90150772915308,197.6465817548444,243.07443392118444,259.82375353799256,244.75250381014575,180.1942085782713,134.12154365338571,152.72213150446328,165.061343348574,166.00413672980622,136.98111256259534,165.7759634225996,175.3410352710647,121.52672545177438,211.9100533420422,278.4054539516654,221.32018833006754,193.98269105160017,102.38403548878732,142.2655671674287,170.92943065534504,158.50051709122576,145.9111147398215,155.9652732418899,153.61591008055746,160.51415197038978,216.4851404310907,261.22289353363817,215.13150446331386,165.60339102982803,102.2957217504899,154.03567929457864
TRENGGALEK,175.3863443043322,169.97982130993867,179.9597357522929,170.3195994064364,205.52020662978654,248.76456746201762,231.0289579724455,212.12798256561211,250.895871750455,227.3924786261107,202.51873513761902,204.1685758811881,185.74291727978883,198.40901894313365,181.93715424590707,190.78535461719505,214.71184830592165,123.13275715412188,189.32531773675854,222.985235407703,233.04437449165218,223.72656943642485,140.66297862300632,192.91830424497576,213.3303841401708,190.49900348315253,183.88352860096515,155.33856737509424,154.43080571957228,167.37490764368795,200.0095305505371,199.28359441453907,219.79607105382468,187.25377341504174,157.80207499022137,203.01401332414454
TULUNGAGUNG,172.85155307801577,162.22080776137003,162.8621727012035,166.15546190335797,195.91754214348902,233.68611475893124,233.9479872966527,215.09993165920744,243.47740733792511,210.4728579851528,146.21455658885648,180.03162436684283,175.64417897247606,196.33485648433535,168.7652426768152,187.50780559054508,203.85298019457036,141.5535470211455,193.2175448235201,228.8025286093318,215.02100474365514,217.47691823225176,104.33481628386895,169.9391297939055,189.83621660011266,193.10491651703174,174.9056964060784,169.98469032240786,162.9005306461557,177.70056682657525,198.4708747621473,203.7152935974059,198.6425307533569,177.762408543939,109.04711494653344,187.47343419183665
BLITAR,173.2632783026651,161.26629197417483,161.16083546893404,178.0672906653177,196.85645464644358,237.69159361629585,284.2387399773426,251.60120546860412,249.5225420429175,208.30627261628493,162.36234450444908,184.8167049791574,179.72278621630255,205.87879321154003,170.63265104103672,204.67660225035485,201.1653449773975,140.60218436190462,247.10119996920344,264.09476567054213,224.66344768420254,210.91281250343724,121.19493175243915,164.708938725679,193.18197516470704,189.02255854111908,170.51155424058803,181.52751350102852,162.4267314862681,180.1762007941136,249.44557243260496,244.38524400840348,207.08833137188054,175.07139321813938,126.92706694970256,188.58073669969986
KEDIRI,145.07648423534786,113.50529291699947,113.60542096121917,118.7971957048137,145.3228615981441,170.55185790894924,211.99604457460168,254.85997540536778,229.2433981161021,154.8971969725784,124.46113667769633,141.24068509996326,160.6293943888743,149.73577251232916,123.07318804751581,147.83465814728893,145.3228615981441,124.1133888614207,191.99472609946898,271.3587646902218,200.59415053436297,196.8366738929248,112.19581891251164,129.52965935166526,152.23854257787252,142.5947337060562,124.72731652277535,147.09636278350396,146.0381090023962,149.02465802051253,187.09042964540637,256.31187007948887,201.46931375904902,161.78498713218985,101.50230099265958,139.1390610935737
MALANG,185.2595582201531,165.76589129112045,170.74220577317072,182.74403675358238,212.9529136592256,237.72621260585348,275.32909081774517,268.67325373034356,259.6371197784963,224.93780807082746,206.41968527233038,186.13770312438982,193.8603095919929,197.01867265084664,174.4304813580516,196.77276304992216,212.8773522236922,149.06234823237827,247.5789973149338,279.76122452397277,246.45476417753787,207.4465861705158,169.66964200983605,181.18060277214906,204.44086435672838,179.9463321778061,169.6478153835848,174.14899044875773,177.9461312165414,186.31586645007508,250.47944891955387,259.4983671897243,230.42748926811046,190.35443984838597,174.23927787918896,193.1488062342651
LUMAJANG,186.18455922582396,185.25052147449043,171.46391140062917,194.80613544658718,207.95060525235934,245.84876384899457,264.01067312953074,242.93177660374772,260.3088026603748,228.36893892764303,223.99479380385714,201.31020465736535,187.5459495964983,208.5250820681165,174.06628282724662,209.6775406921076,212.65981910819303,180.3639635480782,240.55004872794385,252.5110279031596,249.47709359184776,225.9307892217204,204.85400851456694,200.99240442483912,186.41670086171504,201.4610048215017,176.7103080973874,201.98500119682663,193.05693048146608,210.35131138011204,241.90312542743797,238.5455349815345,237.31051668718354,208.46648030365182,198.2643234509643,210.54073057721234
JEMBER,196.75696912043136,185.39938958992,166.56828525596185,186.9068436809268,215.69755323018396,241.28898417317194,266.4636435279742,265.2104842244668,252.94739701370034,230.4186252016825,216.54533075925875,205.3370778657565,205.10869869337728,208.3720027419488,169.24351585014404,202.21463678501812,217.9087509209779,165.32757663934038,253.40764108446862,266.7713783423333,250.0269298564673,209.11365798382806,184.355595348013,198.26781567387602,210.62690607425654,196.4467744793562,165.67549639536284,180.8048413120317,183.0208653926862,190.87114005390623,252.05746434999935,255.01235742331383,235.34260373240804,202.01294265222978,182.04059530138125,200.67048347835805
BANYUWANGI,216.1774217713283,189.57164718976085,170.75664569153673,183.3806129874577,212.65362142031552,239.84558666152986,231.7435683403962,217.42610547493678,253.3381276486451,247.27615470228164,228.89466418389617,218.6097662771285,230.47530071486668,221.8883395402595,176.14166773682632,200.60223235306705,217.28699541971648,132.16113394118418,204.1537391378792,219.69028509053513,254.5855164590558,233.6042442532427,176.07690167372982,212.0714866658105,231.94715551560293,214.9217285218954,172.4301720816745,180.37479131886465,161.80305851633054,170.4220067634088,209.69141945978316,202.1499186678652,236.93601515346077,206.462084242969,164.13808270193925,219.8629446513421
